Stars,Title,Description
1,No era nuevo,"El producto era de importación, entiendo que pudieran haber abierto la caja, pero llegó incluso con restos de pasta térmica, por lo que debió haber sido usado o era uno que regresaron. La incógnita de no saber que tanto estrés se le metió al procesador antes de enviarlo es complicada, cuando se esperaba un producto nuevo.Actualización: El procesador en efecto venía dañado, el primero problema fue que impedía la instalación de Windows. La forma de verificar la falla fue entrando a la BIOS y desactivando todos los cores, a posterior fui activando uno por uno. Con un solo núcleo permitió instalar Windows, el resumen fue: todos los E-cores funcionaban, de los P-Cores estaban dañados el 4, 6 y 7 ya que al encender cualquiera de esos tres desde la BIOS, generaba pantallas azules, se freezeaba o cerraba programas aleatoriamente.No descarto que el tema haya sido un problema de fábrica, pero desde que llegó con pasta térmica en los bordes, me hacía sospechar que había algo malo con el procesador, ya se realizó la solicitud de reembolso."
1,AVOID THIS PROCESSOR AT ALL COSTS / 13th/14th gen Intel i7-i9 issues,"Where do I begin... In between the stability issues this causes, the blue screens of death, the fact that you can't run even Minesweeper due to the problems this processor causes, the ""lack of video resources"" not caused by the GPU but rather by the CPU, the constant need for undervolting of a so-called high end chip, the overheating of the processor, the fact that Intel stayed quiet about this and STILL hasn't taken any action so far, that so many customers have been forced to ask for returns, or the fact that this was hushed for so long that it'll be a miracle to get a refund... Disappointment is still too light a term to refer to what went on with these processors. Honestly, this already falls within a product recall territory, and it's both a scam and an insult to every potential customer out there."
1,Defective from manufacturer constant game crashes because of power throttle issue.,Defective from manufacturer constant game crashes because of power throttle issue. Intel needs to recall this product and refund everyone.  I replaced every part on my new PC build only to find out the issues was this Intel CPU (amazon 30 day warranty had already expired by then).  I'm now having to wait for months attempting to get a refund from intel.  This is a well-known issue and Intel refuses to admit and recall product
1,A Carefully Engineered Nightmare,"I'm a game developer and decided to switch from AMD to Intel for my latest build. The amount of problems this CPU has caused me has cost me hundreds of hours of work. I've been building computers for over 20 years and this is by far the absolute worst component of all time. E cores will cause instability in almost every multithreaded application, clocking has to be severely limited to avoid blue screen of death, Intel Extreme Tuning Utility is borderline malware, and the high thread count is just deceptive marketing because 1/3 of the cores are laptop grade. It gave the illusion of stability through the return period so I'm now stuck with a $500 paper weight CPU and motherboard."
1,"Absolute scam, stay away!","This CPU is a scam. I spent four months debugging my new system, went through three motherboards, two sets of RAM and countless hours of debugging and trying, just to figure out that this CPU is garbage. I can't get my system stable, it keeps failing. This CPU is so overclocked that it does not run stable. Ever. Safe your money, times and nerves and stay as far away from this CPU as you can. I will never buy Intel again."
1,Lost me as a customer,"I?ve always used Intel, as my experiences with AMD have never been great. Wanted to upgrade from my 8700K as I?m doing a lot more rendering/3D work and I need the extra cores and performance. I thought I did my due diligence and picked out ram that was compatible with my motherboard, a suitable CPU cooler, etc to ensure a smooth upgrade.Ultimately was met with so much instability, crashes, high power usage and heat. The instability seemed incurable so I returned everything and switched to the 7950x3d? and it just worked straight out of the box, runs so much cooler and less power draw, with no crashes. It?s not as fast as the 14900k in my tasks, but the other benefits out weigh the decrease in performance."
1,Unstable chips,Ive tried both 13900k and 14900 k and have had issues with everything crashing games applications. I have changed multiple motherboard?s and ram kits very unstable. Dont recommend and or wish this stressful and painful struggle to anyone. I have tried many things and nothing absolutely nothing works
1,Tribal packaging,Products work well but runs very hot. Tribal packaging tho the only Protection was a piece of crumpled paper. The cpu wasn't even in the packaging it had folen out and was just tumbling around the box when it arrived. luckily didn't have any noticeable damage though
1,Incredibly unstable,"Intel has pushed these 13th and 14th Gen i9's way too far in an effort to keep up with AMD. They come out of the box with maxed out settings, including a nearly unlimited 5000w (yes, thousand) available power draw. Intel customer support will ask you to manually configure the BIOS to a setting that effectively renders it a very expensive i7. Wait until they get this fixed, if it's even possible, unless you just really like underclocking and BSODs"
1,SO MANY PROBLEMS,This CPU is a piece of garbage. Can?t run most games without special settings that are all different from each other depending on the game. Don?t buy this worthless CPU. Was better off sticking with my 10th gen I7
5,Processore eccezionale,"processore al top, davvero stupefacente.Non a buon mercato, ma se servono prestazioni questo è il processore giusto."
5,El mejor procesador del momento,"Muy buen procesador, pero necesita una buena refrigeracion."
5,Running air cooled on DeepCool Assassin IV with ease,"So far so good.  This CPU is a monster and runs very nicely and boosts to max clocks (6ghz on two cores and 5.7ghz on all cores) unlimited TDP settings but thermally limited at 90c with -60mV offset.  I have noticed that it runs a bit cooler than my previous 13900KF, especially when you consider the core to core deltas.  I use my PC mostly for gaming and encoding, so as long as you have a great case with plenty of air flow and a top notch cooler, you can easily run it air cooled without issues as it will just throttle itself when it hits whatever thermal maximum you set in the UEFI BIOS.In gaming workloads it never throttles though and stays at 5.7ghz all core boost the entire time with temps in CPU intensive games anywhere from the upper 50s to mid 60s and upper 40s to mid 50s in non CPU intensive games**Update**I have the CPU now at 5.8ghz with HT disabled and a -75mV offset and it's working like a charm and very stable in gaming workloads and encoding (it downclocks when it hits 90c for encoding workloads but for gaming it stays at 5.8ghz), which is amazing since it's on an air cooled setup, though the setup is as optimal as it gets for air cooling!  As for temps, they are a little lower than running it at 5.7ghz with HT enabled and a -50mV offset.  If I use a -75mV offset with 5.8ghz and HT enabled, my PC crashes.  So disabling HT definitely enables the CPU to use less power.If you're predominantly using your machine for gaming, then I definitely recommend turning HT off regardless as most games tend to run better with HT disabled.  But if you're using it for productivity or a blend of both productivity and gaming, then definitely turn HT on.The only mildly disappointing thing for me is that the memory controller isn't as good as I thought it would be.  Mine runs 48GB DDR5 7400 CL34 at 1.35V on the IMC, but to hit DDR5 7600 CL36 with stability I need to increase the IMC voltage to 1.41V which just isn't worth it if you ask me for such a minor bump in performance.  My previous 13900KF could do 48GB DDR5 7800 at 1.36V on the IMC.Core wise though, the CPU is definitely superior to 13th gen."
5,excelente producto,Excelente velocidad I9 14900k en verdad me sorprendio lo recomiendo
5,6.2GHZ 8200mts cl38 Daily Driver.,"This professional CPU isn't designed for the average user. However, if you're a tinkerer at heart, eager to dive deeper than the surface-level information often presented in YouTube ""videos"" (or should we say, commercials), this is unquestionably for you. I've acquired multiple units for various builds/configurations from a wide array of retailers?Best Buy, Newegg, and others included.For those considering making a purchase, I highly recommend using an Apex/Apex Encore MOBO or another reputable 2 DIMM board, particularly for AM5 or LGA1700, if overclocking is your goal. A high-quality cooler is crucial; for those opting for an AIO, ensure it includes at least an 8th gen Asetek pump and a 360 Thickboy copper radiator with performance fans?Avoid the aesthetically pleasing but functionally inferior Lian Li reversed SL Infinity Fans. Genuine static pressure fans, capable of efficiently doing the job, are what you need. Despite what your favorite YouTuber might suggest, you should prioritize efficiency over aesthetics.When selecting DDR5, opt for GOOD BINNED options. If a high-binned QVL compatible set isn't your choice, at a minimum, go for HYNIX A for single rank and HYNIX M for dual rank.The 14900K, when expertly tuned, becomes a gaming and multitasking powerhouse?achieving 43 to 44k in R23, with 6.2GHz boosting, 5.9GHz across its 8 physical cores and 8 threads, and 16 physical e-cores at 4.7GHz for a total of 32 threads, of which only 8 are virtual. With hyper-threading and e-cores enabled, it supports 8200 to 8400 MTS CL38 DDR5 RAM, boasts sub-55ns bus latency, and sub-9.3ns FWL. It's a marvel in Aida64 full, minus SSD, burn-in stress test stability. Adjusting all cores down to 5.8 and boosting to 6.0 can further reduce bus latency to easily below 50ns...Did I mention overall CPU temperatures typically remain between 35 to 40°C under heavy gaming loads, rarely exceeding 50°C? Despite the capability of 3 EATX connections to easily deliver over 400W of power, I'd advise against exceeding 325W daily, as the performance gains beyond this point are minimal without extreme overclocking and cooling methods?increased voltage requirements could significantly shorten the lifespan of your CPU. For tinkerers, this CPU is a dream come true.As of this date?4-4-2024: We anticipate future silicon manufacturing constraints will evolve, but that's a discussion for another time.The X3D Elephant in the room: Don't worry, I own one, and this is about science, not purchase bias...We'll sidestep intricate discussions about CLDO, FCLK, and MCLK concerns, and why the substantial L3 cache has become an essential workaround for the instability caused by chiplet-based IMC in handling DDR5 for gamers. If the augmentation of the L3 cache wasn't primarily to address DDR5 issues stemming from the chiplet design, why not significantly enhance and accelerate the L1 cache? The design doesn't allow for it since it's not monolithic, which wouldn't be practical. Those well-versed in the subject matter understand this. While chiplets represent the future, we must acknowledge that this future hasn't fully materialized for every aspect of computing, allowing us to look beyond the ""normie YouTuber AMD cults.""Indeed, I own a 7800X3D build and absolutely adore it! It excels in gaming... primarily in GAMING! Thus, there's no cause for concern. Let's briefly touch on the ""benefits"" like reduced thermals and supposed platform longevity (as if motherboard chipset upgrades and advancements in power delivery methods don't occur... humor me, over the planned 6 years). I, too, long for Z390 features on my Z790 board (/end sarcasm), not to mention the potential for longer boot times when tinkering with DDR5 or PBO, or even under normal conditions, and texture stutter/tearing... oops, and all those other delightful topics Lisa tends to highlight without addressing the influence of influencers with communications degrees rather than computer science degrees.  Just having fun, do what you love!I don't blame Amazon, Intel, AMD, or Nvidia more than the other. Manufacturing and shipping issues happen. The chip I received from Amazon didn't meet my expectations, but my other purchases have been exceptional. By chance alone, the other four 14900Ks I've received from various distributors have been stellar!Note:Settings in pictures are daily driven....No stability concerns all AIDIA 64 Stress tested for multiple hours and hundreds of gaming/workload hours.  I can get bus latency down to under 50NS but need to decrease core clock to locked 5.8GHZ to stay at safe voltage....  Depends what needs done, either/or is screaming fast even 55ns at that Bandwidth."
5,Klasse Steigerung vom 12900kf !,"Der Intel i9-14900K ist eine beeindruckende Weiterentwicklung des i9-12900KF.Der spürbare Leistungsanstieg, den ich erfahren habe, ist beachtlich und zeigt die Fortschritte in der Technologie.Die Kombination mit der Asus Apex Encore und dem schnellen 7200 MHz Arbeitsspeicher liefert super  Ergebnisse, immerhin  konnte ich 41.000 Punkte im Cinebench R23 ohne Übertaktung erreichen.Die Kombination bietet eine solide Grundlage für anspruchsvolle Aufgaben und Gaming.Man sollte jedoch beachten , dass die genaue Leistung je nach Anwendung variieren kann.Insgesamt scheint der i9-14900K eine lohnende Investition zu sein, selbst wenn man vorher im Besitz der 12. Generation war."
5,Powerful but Warm,"Before you purchase this CPU please also purchase alongside of it purchase a 360 AiO as well, this CPU is in need of it. I'm not trying to say that to scare you but it runs warm. In my (asus) bios I turned on ""Disabled-Enforce all limits"" so that the motherboard doesn't try to do on the fly OC to keep temps low and stability up. I haven't had any crashes or stability issues at all. I did a full platform upgrade from the 10900k to this, I kept my RTX 3080 and the performance bump was actually fully noticeable. I'd say my average temperature for doing basic computing is around 37c with my Lian Li Galahad II Trinity 360. It's a monster of a CPU genuinely and if you are in the market for an upgrade don't hesitate you won't regret it."
5,El GOAT,"De los mejores procesadores del mercado. Excelente para cualquier tipo de tarea exigente. Pero es importante combinarlo con una buena refrigeración líquida o tendrá cuello térmico.Tuve que pedirlo 2 veces porque el primero tenía un error de hardware muy común en estos procesadores, un problema en la compilación de shaders que crashea en algunos juegos o programas. El segundo que pedí llegó sin ningún problema."
5,Best cpu,"The Intel i9-14900K delivers impressive performance with its high clock speeds and advanced architecture. It excels in demanding tasks like gaming, content creation, and multitasking, offering smooth and responsive performance. The integrated graphics are decent for light gaming and multimedia tasks. However, it's power-hungry and may require robust cooling solutions. Overall, it's a top choice for enthusiasts and power users seeking uncompromising performance."
1,Unstable Out Of The Box.,"Installed on an Asus Z790 Hero motherboard, the system was unstable when attempting to undervolt the CPU, and tweaking settings never stabilized it. Hopefully, Intel will release more stable silicon in their next generation."
1,Was a loyal intel consumer until this.,Brand new chip doesn’t even work. How’d are these for sale? Returned this. Amazon received this almost one month ago and still hasn’t issued a refund.
1,Died after 4 months,"It's fast, but it's not great for quality"
1,Windows install wants a network but no network is listed,"While you are installing windows, when you get stuck on finding a network but no networks are listed and it won't let you continue. This is because Windows 11 doesn't support your built in LAN/Wi-Fi drivers.The solution for this is to hitShift+F10 which will bring up the command prompt window. From here you typeOOBE\BYPASSNRO which will re-enable the ""I don't have internet"" option.This will let you continue installing windows.Now you can troubleshoot your network from windows."
1,Not sure what CPU I received,I received a processor in an Intel I box.No markings on the processor itself. Thermal paste residue still on the processor.  This is crazy!!!
1,Inaccurate listing,"The listing for this product claims that you don't need a discrete graphics card. This is incorrect, the KF model does not bring an onboard graphics card. This wasted my time and slowed down the timeline for my NAS build by 3 whole days. Thanks."
1,"Trash quality control, trash memory controller","Quality/silicon control on 14700k is chaos. What the hell intel thinking and doing I dont know.My 13600KF took 7400mhz ram like champ, while this thing cant get even 6800mhz stable... Very dissapointed.1.35v 300w in cinebench with 100c temps with arctic freezer 280mm (that beats most of 360mm AIOs) + bending corrector and good paste.TRASH."
1,Do not buy,This thing is a total scam from the i9 13900k or kf. It’s literally the same thing. The advertise that its goes up to 6000hz but that’s only on two cores of course and only when you don’t need them do they go that high. I had higher cinebench scores on my i9 13900kf then I did on this processor. It’s the same thing just overclocked out of the box. Save your money
1,Faulty,Faulty cpuThey aren’t properly tested before shippingPc booted into windows but couldn’t handle any intensive tasks unless a dedicated gpu wasn’t installed
5,Works great,My husband built me a computer from scratch because my old one was to slow for him. The I7 was the last thing I needed. It was easy for him to install. It performs fantastic.
5,Use a good cooling system - I've got it under a 240 AIO with Diamond paste,I upgraded from an i9 - 11900K.  Pretty good performance increase on benchmarks.  I haven't gamed on it yet (still in the process of locking down cables and loose hardware)MB GIGABYTE Z790 AORUS PRO X
5,This is a Beast,"Case: GOPIE Micro ATX Case T07 (branded as ABIT on the case)Motherboard: MSI MAG B760m Mortar WIFI IICPU: I9 14900kCPU Cooler: ID-COOLING SE-207-XT SlimDDR5: 64Gb T-Team Create Expert 6000Mhz (4 x 32Gb)3 x m.2 Gen4: Lexar - 1 x 512GB (OS)/1 x 1TB/1 x 2TBSSD: 1 x 4TB CrucialCase Fans: Thermalright TL-9015B CPU Cooler Fan 92mm (2 x Intake Bottom/2 x Exhaust Top/1 x Exhaust rear)PSU: Montech Century Mini 750w GoldGPU: N/AThe I9 14900k is a beast and runs hot. While doing benchmarks, a few Pcores would hit 100c while others would hit 92c. Ecores was about 87c and low of 83c on 4.3Ghz all Pcore and 4.2Ghz all Ecore. Offset voltage was at 0.3. After switching back to auto clock, I still managed the same temps, but getting 5.1-5.2Ghz on Pcore and 4.3 on Ecore. If my case allowed 120mm fans, I would of most definitely installed 240mm AIO cooler. That for sure would of helped with the temps and get me higher benchmark numbers.When it came to rendering a 20 minute 4k video on sony Vegas Pro 18 (IGPU only), it took about 15 minutes to complete it vs my I9 9900k that would of taken over an hour to finish it (RTX 3060). This system was meant specifically VR/light video editing. So, considering how fast it is on the rendering without a dedicated GPU, I am pretty excited about it. I haven't tried the VR aspect yet.Overall, if you are coming from a few gen older CPU and want to upgrade to the 14900k, you wont be disappointed."
5,Much fast,Able to compile rust code way faster now.
5,Fast and good,Ooohhhhh boy this is fast and secksy. Maybe the women will love me long time for buying mmmmmm boy Im insecure
5,Scores well with cinebench,Like the idea of no onboard video heating up the processor.  The irony is i have a Asus pro art MB 750 model that does the integration of components. My station is primarily used as a work station though it scores well with PC Mark 10 and cinebench. 3D Mark declares the obvious that I need to upgrade my video card from several years ago. The ai over clocking helps in the bench marking significantly. Lot easier to overclock than in the early 2000's on my core 2quad. Enjoying my thermal right air cooler it does a great job for half the cost of my older noctua cooler on my prior haswell i7.
5,AMAZING BEAST,AMAZING AND RECEIVED SO QUICK! <3
5,I9 14th Gen nest CPU on market !!!!,This CPU is a absolute monster.  Period.  i love it .  i have it paired with a 4080 super.  Any new game i can usually pull 300 fps on any game!
5,Even Microsoft was impressed,"I had some issues after install with Windows wanting me to buy it over again. While I was on with Microsoft tech support even they were like, ""that's a heck of a setup""..."
5,Better than 13th gen,"I previously purchased the 13th Gen version of this processor and it had a defect. Intel was very good at getting a refund sent via RMA, although it took awhile. I purchased this version instead and was pleasantly surprised to see all of my issues resolved. The CPU can handle almost everything thrown at it. Certainly a good purchase and better than the 13th gens that seem to have more issues."
5,Disgustingly Powerful.,"Words truly cannot express how powerful, but also how hot this cpu is. After upgrading from a Ryzen 3700x to this, my work speed, gaming, everything cannot lay a finger on this thing. The only time's i've seen this truly cap out is during extreme compression, decompression, and specific rendering situations. The only con which isn't truly a con is that this chip can get incredibly HOT. If you're going to get this? I would absolutely suggest a 360 AIO cooler or you're going to experience thermal throttling, or even thermal shutdowns. That was my original issue, but quickly upgraded coolers, and this thing is a MONSTER."
5,So easy to install a baby could do it!,"No more lining up pins, now you just make sure this thing sits in the way it belongs and off you go! I've had an H170i on it the whole time but it barely gets into the 40's when under extreme load. For the price, the 14700KF is the way to go imho"
5,It's the perfect fit for this monster PC I just built.,"A lot of people are upset with the 14900k because of the minimal performance leap thar came between it and the 13900k. I say who cares. If you have a 13900k, don't upgrade, but if you have an older PC or 12th Gen, this is a worthy upgrade. I absolutely love mine. It's a monster of a CPU.I honestly don't recommend air cooling it. It can get pretty hot and there are only a small handful of air coolers that can handle this 14900k without setting power limits (which most people don't know how to do, let alone even know what that means)If you're not doing a custom water loop to cool your 14900k, I recommend you do what I've done to cool mine, you dont neeeed to, but it helps. I have an AIO (All-In-One Cooler) and I setup a push-pull configuration on my radiator. That means I have 3 fans on the bottom blowing in through the radiator, and 3 more fans blowing up and out of the case. Both are blowing upward. It creates more airflow. One side is pushing the air, the other side is helping pull that air through. Then I got a thermalright contact frame. Any LGA 1700 contact frame should work but the thermalright version is cheap. It might say 12th/13th Gen but it will also work on 14th Gen. So get an AIO, setup a push-pull fan configuration and get a contact frame. It's helping my Temps significantly. I typically stay in the high 50's or low 60's during 4K gaming. This CPU draws a ton of power so you might see it bump up to 80° occasionally, for a very brief moment. (Maybe 1 second or less)"
5,Runs HOT - Get a good cooler!,"I paired this with a ""GIGABYTE Z790 Eagle AX LGA 1700 Intel Z790 ATX Motherboard with DDR5, M.2, PCIe 5.0, USB 3.2 Gen2X2 Type-C, Intel Wi-Fi 6E, 2.5GbE LAN, Q-Flash Plus, EZ-Latch"" mobo and TGDGAMER ""T-240MM Black ARGB Liquid CPU Water Cooling with 240mm ARGB PWM Fan, Temperature Display, Computer Water Cooling"". The Intel application used AI to tweak my CPU to squeeze out more performance, but under 100% load it will often thermally throttle and sporadically hit 100C. I am considering finding a better cooler to keep up with this racehorse."
5,"Seems fine, though I never got to use it.","Didn't get to use this because the motherboard I ordered with it was D.O.A. Not the seller's fault, of course. I ended up refunding."
5,GET THE 14700K,"I have used this for my build and 3 others, didn't realize what the F is for...Get the K, it's not much more and worth the extra. That being said, this beast will do everything you want it to do and more."
5,very good,i like it
5,Very fast Cpu,Must have 360mm water cooler for this cpu it runs very hot fast! My 260mm wasn’t enough to cool it down at all while gaming!
5,Powerful CPU!,"This CPU is POWERFUL! It ran smoother and was able to open/load programs much faster than my Ryzen 7 5700G. Had no issues cooling this beast of a CPU with a 280mm AiO. If money wasn’t an issue for me, I would definitely buy another 14900K just to keep as a little souvenir hahaha."
5,bueno,por la compra del procesador decía que regalaban un juego  no veo ningún código de canjede resto Intel es Intel lo mejor del mercado
5,The beast! Be prepared to cool it!,It's the current Intel flagship desktop CPU.We had to upgrade from 120mm to 240mm liquid coolers for it.IMPORTANT NOTE: You may need to manually set the max power and max amps in the bios. There's currently an issue that causes them to be set to insanely high values (4096W) by default causing the chip to become unstable under heavy loads.
5,i7 14700k es bueno no calienta mucho,no calineta mucho pero utilizo un radiador 360 corsair
5,Great product!,"New, great product, came as described and very fast at the same day!"
5,Thank you.,I love it.
5,So far so good.,"Sorta came from a 13900k but I gave that to a relative after their x299/i9-7940x system began to have issues. He bought a z790 board and was amazed how far ahead the 13900k is in comparison an overclocked Skylake-X processor. He fixed the issue with the x299 system, but he decided to stay with Raptor Lake. All of which is okay by me because that old 13900k had no overclocking headroom, and I could only undervolt it by 5mv before it became unstable. I was going to buy another 13900k or maybe the ks version, but I decided to wait for the 14900k.The 14900k I got on the other hand has some overclocking headroom. I already set all P-cores to 5.8GHz, while keeping the double-core Turbo Boost at 6.0GHz. I also set the cache to 5.2Ghz and it's completely stable. I was not able to raise the multiplier at all with my 13900k. Just happy my 14900k isn't a lottery loser.While the clock of both the 13900ks and 14900k are the same, the 13900ks has a cherry picked memory controller. If you're looking to do a ton of RAM overclocking then the 13900ks may be the way to go.... but that's not to say if you'd get a 14900k with a good memory controller. Both my 13900k and 14900k work with DDR5-7200 RAM with XMP set, and no adjustments to the memory controller voltages.If you're buying the 14900k off the get-go and building a new system around it, then I recommend pairing it with a motherboard that has the BIOS Flashback feature."
5,Lightening fast.,"My benchmark is almost at 14k now with without overclocking.nVidia GTX 1080, 65gb 6400 ram and 2gb PCIE5 SSD, Gigabyte Z790 Elite x wifi7 motherboard.I won't need to change this setup for the next decade or so like I did with my last PC.Worth the money, but you'll need the right SSD to go with it."
5,This is a BEAST and runs hot.  But that's OK!,"Even you're getting hotter temps despite having great cooling, it's normal for this CPU.  It's a beast.  I recommend using a triple-fan-radiator AIO cooler to keep this bad boy as cool as possible. And make sure to blow the hot air OUT of your PC case."
